Totalt kapital på Avanza;Totalt kapital i Auto;Kapital i Avanza Auto 1;Kapital i Avanza Auto 2;Kapital i Avanza Auto 3;Kapital i Avanza Auto 4;Kapital i Avanza Auto 5;Kapital i Avanza Auto 6;Kapital i aktier;Kapital i fonder (inklusive Auto);Kund sedan år;Kön;Åldersintervall;Inloggade dagar senaste månaden
373000;0;0;0;0;0;0;0;114000;129000;2021;Kvinna;41-50;2
8000;0;0;0;0;0;0;0;0;8000;2004;Man;31-40;0
0;0;0;0;0;0;0;0;0;0;2020;Man;18-30;0
127000;0;0;0;0;0;0;0;15000;112000;2020;Man;41-50;15
0;0;0;0;0;0;0;0;0;0;2009;Man;61-70;0
114000;0;0;0;0;0;0;0;12000;102000;2007;Man;41-50;25
6000;0;0;0;0;0;0;0;6000;0;2021;Kvinna;18-30;21
1000;0;0;0;0;0;0;0;0;0;2018;Kvinna;31-40;0
24000;14000;0;0;0;0;0;14000;0;23000;2019;Man;51-60;2
213000;0;0;0;0;0;0;0;58000;47000;2019;Man;18-30;30
49000;0;0;0;0;0;0;0;31000;13000;2010;Man;31-40;6
74000;0;0;0;0;0;0;0;6000;64000;2018;Kvinna;18-30;3
14000;0;0;0;0;0;0;0;14000;0;2020;Man;31-40;0
1286000;0;0;0;0;0;0;0;1223000;0;2017;Företag;-;19
188000;0;0;0;0;0;0;0;60000;116000;2020;Man;18-30;10
11000;3000;0;0;0;0;0;3000;0;6000;2019;Kvinna;41-50;0
295000;0;0;0;0;0;0;0;151000;68000;2007;Man;41-50;24
22000;0;0;0;0;0;0;0;0;0;2020;Man;51-60;0
39000;0;0;0;0;0;0;0;0;39000;2014;Kvinna;41-50;0
39000;11000;0;0;0;0;11000;0;0;39000;2019;Kvinna;18-30;5
911000;0;0;0;0;0;0;0;0;908000;2011;Kvinna;31-40;0
274000;11000;0;0;0;0;0;11000;119000;150000;2020;Kvinna;31-40;30
195000;0;0;0;0;0;0;0;55000;107000;2000;Man;51-60;3
0;0;0;0;0;0;0;0;0;0;2021;Man;31-40;0
0;0;0;0;0;0;0;0;0;0;2017;Kvinna;41-50;1
249000;0;0;0;0;0;0;0;11000;232000;2016;Man;18-30;7
37000;0;0;0;0;0;0;0;26000;11000;2020;Kvinna;31-40;13
2674000;0;0;0;0;0;0;0;2421000;24000;2014;Man;31-40;26
112000;0;0;0;0;0;0;0;160000;0;2012;Man;18-30;1
129000;0;0;0;0;0;0;0;0;33000;2021;Kvinna;18-30;7
51000;0;0;0;0;0;0;0;0;51000;2018;Man;18-30;13
159000;0;0;0;0;0;0;0;63000;0;2015;Kvinna;31-40;5
59000;0;0;0;0;0;0;0;8000;51000;2020;Kvinna;18-30;4
1000;0;0;0;0;0;0;0;0;1000;2020;Man;18-30;1
526000;48000;0;0;0;0;48000;0;96000;303000;2004;Man;51-60;2
155000;0;0;0;0;0;0;0;0;155000;2017;Kvinna;31-40;0
34000;0;0;0;0;0;0;0;12000;8000;2015;Man;41-50;4
9000;0;0;0;0;0;0;0;0;9000;2019;Kvinna;0-10;0
97000;0;0;0;0;0;0;0;0;97000;2017;Man;31-40;2
911000;0;0;0;0;0;0;0;833000;86000;2019;Kvinna;51-60;5
577000;0;0;0;0;0;0;0;577000;0;2021;Kvinna;18-30;3
19000;0;0;0;0;0;0;0;1000;18000;2015;Kvinna;31-40;3
265000;0;0;0;0;0;0;0;181000;11000;2010;Man;71-80;19
610000;0;0;0;0;0;0;0;611000;0;2015;Man;41-50;25
119000;0;0;0;0;0;0;0;0;0;2019;Man;31-40;18
125000;0;0;0;0;0;0;0;0;117000;2016;Kvinna;81-90;14
106000;0;0;0;0;0;0;0;0;0;2009;Man;71-80;25
165000;0;0;0;0;0;0;0;117000;48000;2015;Man;31-40;4
86000;0;0;0;0;0;0;0;0;59000;2020;Kvinna;18-30;3
136000;0;0;0;0;0;0;0;0;124000;2012;Man;71-80;0
673000;0;0;0;0;0;0;0;705000;8000;2015;Man;31-40;30
275000;0;0;0;0;0;0;0;0;275000;2008;Kvinna;51-60;0
31000;0;0;0;0;0;0;0;17000;13000;2021;Man;18-30;13
24000;0;0;0;0;0;0;0;0;0;2019;Man;18-30;0
0;0;0;0;0;0;0;0;0;0;2021;Man;18-30;0
1000;0;0;0;0;0;0;0;0;0;2015;Kvinna;18-30;2
589000;0;0;0;0;0;0;0;147000;170000;2013;Man;41-50;24
72000;0;0;0;0;0;0;0;62000;8000;2021;Man;31-40;29
481000;108000;0;0;0;0;0;108000;181000;225000;2019;Man;18-30;20
5000;0;0;0;0;0;0;0;5000;0;2013;Man;31-40;1
40000;0;0;0;0;0;0;0;39000;0;2021;Kvinna;51-60;2
3000;0;0;0;0;0;0;0;3000;0;2021;Man;41-50;4
205000;0;0;0;0;0;0;0;205000;0;2018;Man;51-60;27
155000;0;0;0;0;0;0;0;106000;49000;2021;Man;18-30;26
15000;0;0;0;0;0;0;0;0;15000;2021;Kvinna;31-40;10
65000;14000;0;0;0;0;14000;0;37000;28000;2019;Man;18-30;6
743000;0;0;0;0;0;0;0;0;331000;2020;Man;31-40;1
519000;0;0;0;0;0;0;0;518000;0;2012;Man;31-40;21
0;0;0;0;0;0;0;0;0;0;2020;Kvinna;18-30;1
16000;0;0;0;0;0;0;0;0;0;2021;Man;18-30;0
8000;0;0;0;0;0;0;0;0;8000;2021;Man;18-30;8
0;0;0;0;0;0;0;0;0;0;2013;Man;18-30;0
0;0;0;0;0;0;0;0;0;0;2016;Man;18-30;0
0;0;0;0;0;0;0;0;0;0;2020;Man;51-60;0
75000;18000;0;18000;0;0;0;0;29000;23000;2017;Man;61-70;21
1000;0;0;0;0;0;0;0;1000;0;2017;Man;31-40;2
0;0;0;0;0;0;0;0;0;0;2018;Kvinna;18-30;0
43000;0;0;0;0;0;0;0;0;43000;2020;Man;41-50;0
33000;0;0;0;0;0;0;0;15000;18000;2017;Man;18-30;21
0;0;0;0;0;0;0;0;0;0;2011;Man;71-80;0
24000;0;0;0;0;0;0;0;0;24000;2020;Kvinna;51-60;0
0;0;0;0;0;0;0;0;0;0;2017;Kvinna;41-50;2
6000;0;0;0;0;0;0;0;1000;6000;2010;Man;31-40;21
15000;0;0;0;0;0;0;0;3000;0;2020;Kvinna;0-10;0
226000;0;0;0;0;0;0;0;224000;0;2015;Man;18-30;16
7000;0;0;0;0;0;0;0;2000;0;2016;Man;31-40;1
54000;21000;0;0;0;0;21000;0;0;54000;2016;Kvinna;31-40;2
32000;32000;0;0;0;0;32000;0;0;32000;2016;Man;51-60;9
1018000;24000;0;0;0;0;0;24000;412000;164000;2011;Man;41-50;10
5000;0;0;0;0;0;0;0;4000;0;2021;Man;18-30;6
25000;25000;0;0;0;0;25000;0;0;25000;2019;Kvinna;61-70;15
2000;0;0;0;0;0;0;0;0;0;2021;Man;11-17;0
3000;0;0;0;0;0;0;0;0;3000;2021;Man;18-30;7
42000;22000;0;22000;0;0;0;0;19000;22000;2016;Kvinna;18-30;2
88000;10000;0;0;0;0;0;10000;0;88000;2017;Kvinna;31-40;10
87000;0;0;0;0;0;0;0;5000;69000;2020;Man;31-40;22
1162000;0;0;0;0;0;0;0;86000;1064000;2008;Man;41-50;25
161000;0;0;0;0;0;0;0;0;140000;2021;Man;51-60;17
128000;0;0;0;0;0;0;0;45000;75000;2016;Man;41-50;20
365000;0;0;0;0;0;0;0;36000;128000;2014;Kvinna;31-40;28
4000;0;0;0;0;0;0;0;3000;0;2014;Man;51-60;7
426000;0;0;0;0;0;0;0;422000;0;2009;Kvinna;61-70;0
0;0;0;0;0;0;0;0;0;0;2020;Man;11-17;0
6000;4000;0;0;0;0;3000;1000;0;6000;2018;Man;18-30;2
0;0;0;0;0;0;0;0;0;0;2020;Man;18-30;6
56000;0;0;0;0;0;0;0;32000;21000;2016;Man;41-50;2
65000;0;0;0;0;0;0;0;62000;0;2016;Man;18-30;7
51000;0;0;0;0;0;0;0;51000;0;2019;Man;41-50;14
492000;0;0;0;0;0;0;0;430000;50000;2018;Man;18-30;22
52000;0;0;0;0;0;0;0;0;0;2021;Kvinna;71-80;0
1000;0;0;0;0;0;0;0;1000;0;2021;Man;31-40;1
189000;0;0;0;0;0;0;0;128000;57000;2019;Man;51-60;1
36000;0;0;0;0;0;0;0;0;36000;2020;Kvinna;0-10;0
217000;0;0;0;0;0;0;0;152000;65000;2015;Man;18-30;22
309000;0;0;0;0;0;0;0;27000;282000;2017;Man;18-30;30
1000;0;0;0;0;0;0;0;0;1000;2017;Kvinna;31-40;0
154000;150000;19000;2000;0;75000;0;54000;4000;150000;2016;Man;31-40;15
295000;0;0;0;0;0;0;0;74000;91000;2016;Man;41-50;28
990000;0;0;0;0;0;0;0;924000;0;2010;Man;51-60;7
3000;1000;0;0;0;0;1000;0;0;1000;2020;Man;41-50;0
0;0;0;0;0;0;0;0;0;0;2021;Man;18-30;0
811000;0;0;0;0;0;0;0;265000;544000;2017;Kvinna;31-40;14
72000;0;0;0;0;0;0;0;72000;0;2021;Kvinna;61-70;5
0;0;0;0;0;0;0;0;0;0;2021;Kvinna;41-50;0
20000;0;0;0;0;0;0;0;0;20000;2021;Kvinna;41-50;2
506000;4000;0;0;4000;0;0;0;81000;420000;2013;Man;71-80;22
116000;0;0;0;0;0;0;0;21000;86000;2006;Man;61-70;2
181000;0;0;0;0;0;0;0;0;181000;2016;Man;31-40;0
224000;0;0;0;0;0;0;0;22000;202000;2015;Man;31-40;6
217000;0;0;0;0;0;0;0;0;217000;2016;Kvinna;61-70;18
1000;0;0;0;0;0;0;0;1000;0;2018;Man;18-30;0
41000;0;0;0;0;0;0;0;40000;0;2020;Man;18-30;7
1245000;0;0;0;0;0;0;0;1243000;0;2020;Man;41-50;3
3512000;0;0;0;0;0;0;0;2371000;1126000;2015;Man;31-40;2
0;0;0;0;0;0;0;0;0;0;2021;Man;51-60;8
2136000;0;0;0;0;0;0;0;1753000;198000;2019;Man;31-40;21
65000;0;0;0;0;0;0;0;50000;8000;2001;Kvinna;41-50;0
707000;0;0;0;0;0;0;0;0;0;2020;Man;51-60;0
180000;0;0;0;0;0;0;0;0;180000;2016;Man;18-30;19
58000;0;0;0;0;0;0;0;42000;17000;2020;Kvinna;41-50;6
26000;0;0;0;0;0;0;0;15000;11000;2017;Man;51-60;18
18000;0;0;0;0;0;0;0;18000;1000;2021;Man;51-60;3
